year,num,paper_name,pages,text_chars_per_page,verdict
2017,1,CHSL Tier-I (7th Jan 2017 - Shift 1),8,2194,TEXT
2017,2,CHSL Tier-I (7th Jan 2017 - Shift 3),9,2119,TEXT
2017,3,CHSL Tier-I (24th Mar 2017 - Shift 3),10,1977,TEXT
2017,4,CHSL Tier-I (1st Feb 2017 - Shift 1),8,2284,TEXT
2017,5,CHSL Tier-I (1st Feb 2017 - Shift 2),9,2040,TEXT
2017,6,CHSL Tier-I (1st Feb 2017 - Shift 3),8,2342,TEXT
2017,7,CHSL Tier-I (2nd Feb 2017 - Shift 1),8,2289,TEXT
2017,8,CHSL Tier-I (2nd Feb 2017 - Shift 2),8,2232,TEXT
2017,9,CHSL Tier-I (2nd Feb 2017 - Shift 3),8,2233,TEXT
2017,10,CHSL Tier-I (3rd Feb 2017 - Shift 1),8,2249,TEXT
2017,11,CHSL Tier-I (3rd Feb 2017 - Shift 2),8,2303,TEXT
2017,12,CHSL Tier-I (3rd Feb 2017 - Shift 3),7,2503,TEXT
2018,1,CHSL Tier-I (4th March 2018 - Shift 1),11,1838,TEXT
2018,2,CHSL Tier-I (4th March 2018 - Shift 3),10,1982,TEXT
2018,3,CHSL Tier-I (5th March 2018 - Shift 1),10,2011,TEXT
2018,4,CHSL Tier-I (5th March 2018 - Shift 2),10,1981,TEXT
2018,5,CHSL Tier-I (5th March 2018 - Shift 3),10,1990,TEXT
2018,6,CHSL Tier-I (6th March 2018 - Shift 1),9,2151,TEXT
2018,7,CHSL Tier-I (6th March 2018 - Shift 2),10,2081,TEXT
2018,8,CHSL Tier-I (6th March 2018 - Shift 3),9,2175,TEXT
2018,9,CHSL Tier-I (7th March 2018 - Shift 1),10,1979,TEXT
2018,10,CHSL Tier-I (7th March 2018 - Shift 2),14,1909,TEXT
2018,11,CHSL Tier-I (7th March 2018 - Shift 3),10,1964,TEXT
2018,12,CHSL Tier-I (8th March 2018 - Shift 1),10,1973,TEXT
2018,13,CHSL Tier-I (8th March 2018 - Shift 2),10,1968,TEXT
2018,14,CHSL Tier-I (8th March 2018 - Shift 3),10,1943,TEXT
2018,15,CHSL Tier-I (10th March 2018 - Shift 2),10,2021,TEXT
2018,16,CHSL Tier-I (10th March 2018 - Shift 3),10,1935,TEXT
2018,17,CHSL Tier-I (11th March 2018 - Shift 1),10,1974,TEXT
2018,18,CHSL Tier-I (11th March 2018 - Shift 3),10,1873,TEXT
2018,19,CHSL Tier-I (24th March 2018 - Shift 2),9,2141,TEXT
2019,1,CHSL Tier-I (2nd July 2019 - Shift 1),9,1969,TEXT
2019,2,CHSL Tier-I (2nd July 2019 - Shift 2),9,1910,TEXT
2019,3,CHSL Tier-I (2nd July 2019 - Shift 3),9,1926,TEXT
2019,4,CHSL Tier-I (8th July 2019 - Shift 1),10,1646,TEXT
2019,5,CHSL Tier-I (8th July 2019 - Shift 2),10,1635,TEXT
2019,6,CHSL Tier-I (1st July 2019 - Shift 3),9,1889,TEXT
2019,7,CHSL Tier-I (3rd July 2019 - Shift 2),11,1656,TEXT
2019,8,CHSL Tier-I (3rd July 2019 - Shift 1),11,1618,TEXT
2019,9,CHSL Tier-I (3rd July 2019 - Shift 3),11,1632,TEXT
2019,10,CHSL Tier-I (4th July 2019 - Shift 1),10,1797,TEXT
2019,11,CHSL Tier-I (4th July 2019 - Shift 2),10,1646,TEXT
2019,12,CHSL Tier-I (4th July 2019 - Shift 3),10,1803,TEXT
